Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
City Rectangle,http://onlinecollection.nationalgallery.ie/objects/22140/city-rectangle;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=0,1948,Oil on canvas,86 x 66 cm,NGI.2020.35,"Purchased, 2020"
Hope Painting - Drummond Place 2007,http://onlinecollection.nationalgallery.ie/objects/22221/hope-painting--drummond-place-2007;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=1,2016,Oil on linen,48 x 48 cm,NGI.2020.24,"Purchased, 2020"
Inner Darkness 2011,http://onlinecollection.nationalgallery.ie/objects/22222/inner-darkness-2011;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=2,2016,Oil on linen,43 x 43 cm,NGI.2020.25,"Purchased, 2020"
Sheela-na-Gig VII,http://onlinecollection.nationalgallery.ie/objects/21871/sheelanagig-vii;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=3,1962,Mixed media on plywood panel,107.5 x 97 x 10 cm,NGI.2020.9,"Presented, 2020"
Study for Sheela-na-Gig VII,http://onlinecollection.nationalgallery.ie/objects/21872/study-for-sheelanagig-vii;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=4,1962,Oil on wood panel,13.5 x 19 cm,NGI.2020.10,"Presented, 2020"
"Portrait of L. S. O'Riordan, original Board Member, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22067/portrait-of-l-s-oriordan-original-board-member-new-irel;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=5,1959,Oil on canvas,N/A,NGI.2020.4,"Presented, New Ireland Assurance Company, 2020"
"Portrait of M. J. Campbell, original Board Member, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22068/portrait-of-m-j-campbell-original-board-member-new-irela;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=6,1954,Oil on canvas,N/A,NGI.2020.5,"Presented, New Ireland Assurance Company, 2020"
"Portrait of M. W. O'Reilly, Founder and Managing Director, New Ireland Assurance",http://onlinecollection.nationalgallery.ie/objects/22069/portrait-of-m-w-oreilly-founder-and-managing-director-n;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=7,1943,Oil on canvas,N/A,NGI.2020.6,"Presented, New Ireland Assurance Company, 2020"
Galatea and Polyphemus,http://onlinecollection.nationalgallery.ie/objects/22064/galatea-and-polyphemus;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=8,c.1673-75,Oil on canvas,48 x 77 cm,NGI.2020.2,"Bequeathed, Dr John Patrick Maiben Gilmartin, through the Friends of the National Collections of Ireland, 2020"
The Day I Heard that Mark Hollis had Died (Self-Portrait),http://onlinecollection.nationalgallery.ie/objects/21772/the-day-i-heard-that-mark-hollis-had-died-selfportrait;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=9,2019,Oil on canvas,105 x 97 cm,NGI.2019.238,"Presented, Friends of the National Gallery of Ireland (Patrons of Irish Art Funds), 2019"
"Menlo Castle, County of Galway, the Seat of Sir Valentine Blake, Bart",http://onlinecollection.nationalgallery.ie/objects/21665/menlo-castle-county-of-galway-the-seat-of-sir-valentine-bl;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=10,1844,Oil on panel,36 x 50 cm,NGI.2019.210,"Bequeathed, Dr Stephen Michael Shea, 2019"
Storm over Caernarfon Bay,http://onlinecollection.nationalgallery.ie/objects/21822/storm-over-caernarfon-bay;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=11,1996,Oil on canvas,61 x 61 cm,NGI.2019.201,"Presented, Patron of the National Gallery of Ireland, 2019"
Ogham on Broadway,http://onlinecollection.nationalgallery.ie/objects/21162/ogham-on-broadway;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=12,2003,Acrylic on canvas,183 x 189 x 5 cm,NGI.2019.199,"Purchased, the Artist, 2019"
Portrait of the Artist as a Naked Young Man,http://onlinecollection.nationalgallery.ie/objects/21163/portrait-of-the-artist-as-a-naked-young-man;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=13,1953,Oil on canvas,N/A,NGI.2019.200,"Purchased, the Artist, 2019"
Landline Red Run,http://onlinecollection.nationalgallery.ie/objects/21128/landline-red-run;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=14,2018,Oil on aluminium,215.9 x 190.5 cm,NGI.2019.115,"Presented, Sean Scully, 2019"
Shapeshifter,http://onlinecollection.nationalgallery.ie/objects/21338/shapeshifter;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=15,2016,Oil on canvas,175 x 235 cm,NGI.2019.89,"Purchased, partial gift from the Artist, 2019"
"Woman in a Large Hat (possibly May Power, Daughter of Albert Power)",http://onlinecollection.nationalgallery.ie/objects/21664/woman-in-a-large-hat-possibly-may-power-daughter-of-albert;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=16,N/A,Oil on canvas,N/A,NGI.2019.64,"Bequeathed, 2019"
The Artist with Two Women,http://onlinecollection.nationalgallery.ie/objects/21213/the-artist-with-two-women;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=17,N/A,Oil on canvas,90 x 105 cm,NGI.2019.56,"Bequeathed, 2019"
Standing Nude,http://onlinecollection.nationalgallery.ie/objects/21219/standing-nude;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=18,N/A,Oil on canvas,100 x 74 cm,NGI.2019.57,"Bequeathed, 2019"
Dominick Bowe,http://onlinecollection.nationalgallery.ie/objects/21221/dominick-bowe;jsessionid=C4E1E814DD541DF87EA4AC5D98C4F030?ctx=0faf4993-937c-4e71-9a78-66b62ca90010&idx=19,N/A,Oil on canvas,70 x 50 cm,NGI.2019.59,"Bequeathed, 2019"
Portrait of Patrick Tuohy,http://onlinecollection.nationalgallery.ie/objects/21223/portrait-of-patrick-tuohy?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=20,N/A,Oil on canvas,N/A,NGI.2019.61,"Bequeathed, 2019"
Still Water,http://onlinecollection.nationalgallery.ie/objects/21316/still-water?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=21,2017,Oil on canvas,80 x 100 cm,NGI.2019.42,"Purchased, 2019"
Self-Portrait,http://onlinecollection.nationalgallery.ie/objects/21317/selfportrait?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=22,2018,Oil on board,61 x 46 cm,NGI.2019.41,"Purchased, 2019"
Girl Praying,http://onlinecollection.nationalgallery.ie/objects/21246/girl-praying?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=23,c.1925,Oil on canvas,45.5 x 40.5 x 1.3 cm,NGI.2019.40,"Presented, Mr Leo Donnelly, in memory of Kathleen O’Brien and her daughter Mary Donnelly, 2019"
Over and Above,http://onlinecollection.nationalgallery.ie/objects/21149/over-and-above?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=24,2017,Oil on canvas,110 x 60 cm,NGI.2018.26,"Purchased, 2018"
Cacti,http://onlinecollection.nationalgallery.ie/objects/20899/cacti?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=25,c. 1940-1950s,Oil on canvas,61 x 36 cm,NGI.2018.106,"Purchased, 2018"
Harold Marks,http://onlinecollection.nationalgallery.ie/objects/20900/harold-marks?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=26,c.1941-1945,Oil on canvas,74 x 51 cm,NGI.2018.107,"Purchased, 2018"
Lights,http://onlinecollection.nationalgallery.ie/objects/20901/lights?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=27,c.1940-1945,Oil on canvas,61 x 41 cm,NGI.2018.108,"Purchased, 2018"
St John the Evangelist,http://onlinecollection.nationalgallery.ie/objects/20897/st-john-the-evangelist?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=28,c.1605,"Oil with traces of black chalk, on paper, laid down on modern panel",30.5 x 12.3 cm,NGI.2018.60,"Purchased, 2018"
St Bartholomew,http://onlinecollection.nationalgallery.ie/objects/20898/st-bartholomew?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=29,c.1605,"Oil with traces of black chalk, on paper, laid down on modern panel",30.5 x 12.3 cm,NGI.2018.61,"Purchased, 2018"
Summer Landscape,http://onlinecollection.nationalgallery.ie/objects/21068/summer-landscape?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=30,1926,Oil on canvas,95 x 28.6 cm,NGI.2018.62,"Presented, Marie-Louise von Motesiczky Charitable Trust, 2018"
Frau Zischka,http://onlinecollection.nationalgallery.ie/objects/21069/frau-zischka?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=31,1938,Oil on canvas,95.5 x 63.7 cm,NGI.2018.63,"Presented, Marie-Louise von Motesiczky Charitable Trust, 2018"
Morning in the Garden,http://onlinecollection.nationalgallery.ie/objects/21070/morning-in-the-garden?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=32,1943,Oil on canvas,63.6 x 76.6 cm,NGI.2018.64,"Presented, Marie-Louise von Motesiczky Charitable Trust, 2018"
"Roses, Toad and Nude",http://onlinecollection.nationalgallery.ie/objects/21071/roses-toad-and-nude?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=33,c.1960,Oil on canvas,35.5 x 45.5 cm,NGI.2018.65,"Presented, Marie-Louise von Motesiczky Charitable Trust, 2018"
Still-life with Doll,http://onlinecollection.nationalgallery.ie/objects/21072/stilllife-with-doll?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=34,1989,Oil on canvas,40.9 x 50.5 cm,NGI.2018.66,"Presented, Marie-Louise von Motesiczky Charitable Trust, 2018"
"Professor Marie Cassidy, State Pathologist 2004-2018",http://onlinecollection.nationalgallery.ie/objects/21210/professor-marie-cassidy-state-pathologist-20042018?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=35,2018,Oil on canvas,N/A,NGI.2018.59,"Commissioned, the National Gallery of Ireland as part of the Hennessy Portrait Prize, 2017"
"Graham Norton (born Dublin 1963), Broadcaster, Comedian, Actor and Writer",http://onlinecollection.nationalgallery.ie/objects/19871/graham-norton-born-dublin-1963-broadcaster-comedian-act?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=36,2017,Oil on canvas,137 x 107 cm,NGI.2017.7,"Winner’s commission from “Sky Arts’ Portrait Artist of the Year 2017”. Presented, Storyvault Films, 2017"
Abstract Composition in Black,http://onlinecollection.nationalgallery.ie/objects/21125/abstract-composition-in-black?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=37,1940s,Oil on panel,38 x 28 cm,NGI.2018.56,"Purchased, 2018"
Bird Nesting,http://onlinecollection.nationalgallery.ie/objects/21126/bird-nesting?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=38,c.1944-45,Oil on canvas,34 x 46 cm,NGI.2018.57,"Purchased, 2018"
The Yew Tree Walk,http://onlinecollection.nationalgallery.ie/objects/21127/the-yew-tree-walk?ctx=5f5e8c56-a3d1-44ac-afca-cc6b7dceb604&idx=39,N/A,Oil on canvas,61 x 51 cm,NGI.2018.58,"Purchased, 2018"
"Portrait of Lenny Abrahamson (b.1966), Filmmaker",http://onlinecollection.nationalgallery.ie/objects/21081/portrait-of-lenny-abrahamson-b1966-filmmaker?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=40,2018,Oil on canvas,80 x 80 cm,NGI.2018.36,"Commissioned, 2018"
Her First Communion,http://onlinecollection.nationalgallery.ie/objects/20734/her-first-communion?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=41,1902,Oil on canvas,181 x 89 cm,NGI.2018.35,"Purchased, with the support of the Friends of the National Gallery of Ireland, 2018 (part Dargan Fund)"
From Cogan's Shed,http://onlinecollection.nationalgallery.ie/objects/20735/from-cogans-shed?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=42,2004,Oil on linen,183 x 214 cm,NGI.2018.31,"Purchased, 2018"
Cityscape,http://onlinecollection.nationalgallery.ie/objects/20589/cityscape?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=43,1934,Oil on canvas,N/A,NGI.2018.10,"Purchased, 2018"
The Granite Land of Cornwall - Winter,http://onlinecollection.nationalgallery.ie/objects/20591/the-granite-land-of-cornwall--winter?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=44,1964,Oil on board,60 x 122 cm,NGI.2018.8,"Purchased, 2018"
In Memory of Peter Lanyon - Newmill Quarry in Winter with Windhover,http://onlinecollection.nationalgallery.ie/objects/20592/in-memory-of-peter-lanyon--newmill-quarry-in-winter-with-wi?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=45,1964,Oil on board,60 x 122 cm,NGI.2018.9,"Purchased, 2018"
Tory Gully (Landscape of the Donegal Coast),http://onlinecollection.nationalgallery.ie/objects/20393/tory-gully-landscape-of-the-donegal-coast?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=46,1962,Oil on canvas,N/A,NGI.2017.51,"Presented, The Derek Hill Foundation, 2017"
"Self-Portrait, La Rûche, Paris",http://onlinecollection.nationalgallery.ie/objects/20427/selfportrait-la-ruche-paris?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=47,1976/77,Oil on board,N/A,NGI.2017.52,"Purchased, 2017"
Women on a Galway Quayside,http://onlinecollection.nationalgallery.ie/objects/20436/women-on-a-galway-quayside?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=48,1893,Oil on canvas,19 x 28.2 cm,NGI.2018.1,"Purchased, 2018"
"Painting, July",http://onlinecollection.nationalgallery.ie/objects/20391/painting-july?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=49,1955,"Oil, mixed media on board",153 x 122 cm,NGI.2017.48,"Purchased, 2017"
Elizabeth Corbet Yeats,http://onlinecollection.nationalgallery.ie/objects/18933/elizabeth-corbet-yeats?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=50,c.1899,Oil on canvas,N/A,NGI.2017.45,"Presented, Friends of the National Gallery of Ireland (Patrons of Irish Art Funds), 2017"
Crayfish,http://onlinecollection.nationalgallery.ie/objects/20250/crayfish?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=51,20th century,Oil on board,38 x 61 cm,NGI.2017.43,"Presented, Friends of the National Gallery of Ireland (Patrons of Irish Art Funds), 2017"
Boglands 4,http://onlinecollection.nationalgallery.ie/objects/20251/boglands-4?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=52,1968-1969,Oil on board,184 x 91.5 cm,NGI.2017.44,"Purchased, 2017"
"Gerald (Jeremiah) O’Donovan (1871-1942), Novelist, Political Essayist and Irish Revivalist",http://onlinecollection.nationalgallery.ie/objects/20252/gerald-jeremiah-odonovan-18711942-novelist-political?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=53,c.1903,Oil on canvas,70 x 60 cm,NGI.2017.46,"Purchased, 2017"
Seated Woman,http://onlinecollection.nationalgallery.ie/objects/20238/seated-woman?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=54,1964,Oil on board,91 x 46 cm,NGI.2017.35,"Presented, Friends of the National Gallery of Ireland (Patrons of Irish Art Funds), 2017"
Fille á l'Oiseau Exotique II,http://onlinecollection.nationalgallery.ie/objects/20239/fille-a-loiseau-exotique-ii?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=55,c.1956,Oil on canvas,130 x 89 cm,NGI.2017.36,"Purchased, 2017"
North African Man,http://onlinecollection.nationalgallery.ie/objects/19973/north-african-man?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=56,c.1890,Oil on canvas,22.7 x 15.3 cm,NGI.2017.30,"Bequeathed, Patricia and David Simana, 2017"
A Young Girl Reading,http://onlinecollection.nationalgallery.ie/objects/20034/a-young-girl-reading?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=57,c.1910,Oil on panel,N/A,NGI.2017.31,"Purchased, 2017"
On Parole,http://onlinecollection.nationalgallery.ie/objects/20430/on-parole?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=58,1920,Oil on canvas,52 x 44 cm,NGI.2017.24,"Purchased, 2017"
"Portrait of Henry Shefflin (b.1979), Hurler",http://onlinecollection.nationalgallery.ie/objects/19979/portrait-of-henry-shefflin-b1979-hurler?ctx=b58da4ce-5e8e-4aa8-bfd9-c08bcdbcd823&idx=59,2017,Oil on canvas,117 x 122 cm,NGI.2017.15,"Commissioned, the National Gallery of Ireland as part of the Hennessy Portrait Prize, 2016"
Homo Sapiens: An Allegory of Democracy,http://onlinecollection.nationalgallery.ie/objects/20431/homo-sapiens-an-allegory-of-democracy?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=60,1929-1930,Oil on canvas,115 x 95 cm,NGI.2017.25,"Purchased, 2017"
Big Hot Tub,http://onlinecollection.nationalgallery.ie/objects/19990/big-hot-tub?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=61,2005,Oil on canvas,185 x 185 cm,NGI.2017.16,"Purchased, 2017"
Night Scene with Poachers,http://onlinecollection.nationalgallery.ie/objects/19872/night-scene-with-poachers?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=62,1770's,Oil on canvas,N/A,NGI.2017.4,"Presented, David Dell CB, 2017"
The Startled Bird,http://onlinecollection.nationalgallery.ie/objects/19976/the-startled-bird?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=63,1961,Oil on canvas,68.5 x 81.3 cm,NGI.2017.9,"Purchased, 2017"
Girl in a Garden,http://onlinecollection.nationalgallery.ie/objects/19978/girl-in-a-garden?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=64,c. 1951-52,Oil on canvas,134.5 x 106.5 cm,NGI.2017.8,"Purchased, 2017"
Upstairs No.4 – The Studio,http://onlinecollection.nationalgallery.ie/objects/19888/upstairs-no4--the-studio?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=65,1989,Oil on shaped canvas,198 x 152 cm,NGI.2017.6,"Presented, 2017"
Self-Portrait,http://onlinecollection.nationalgallery.ie/objects/19889/selfportrait?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=66,1961,Oil on panel,23.5 x 24 cm,NGI.2017.5,"Presented, 2017"
The Pietà,http://onlinecollection.nationalgallery.ie/objects/19879/the-pieta?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=67,?1560s,Oil on panel,21 x 47 cm,NGI.103.1,"Purchased, 1864"
Saint Apollonia,http://onlinecollection.nationalgallery.ie/objects/19880/saint-apollonia?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=68,?1560s,Oil on panel,18 x 18 cm,NGI.103.2,"Purchased, 1864"
Saint Peter,http://onlinecollection.nationalgallery.ie/objects/19881/saint-peter?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=69,?1560s,Oil on panel,18 x 18 cm,NGI.103.3,"Purchased, 1864"
Saint Francis,http://onlinecollection.nationalgallery.ie/objects/19882/saint-francis?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=70,?1560s,Oil on panel,18 x 18 cm,NGI.104.1,"Purchased, 1865"
Saint Lawrence,http://onlinecollection.nationalgallery.ie/objects/19883/saint-lawrence?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=71,?1560s,Oil on panel,18 x 18 cm,NGI.104.2,"Purchased, 1865"
Saint Jerome,http://onlinecollection.nationalgallery.ie/objects/19884/saint-jerome?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=72,?1560s,Oil on panel,18 x 18 cm,NGI.104.3,"Purchased, 1865"
Saint Benedict,http://onlinecollection.nationalgallery.ie/objects/19885/saint-benedict?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=73,?1560s,Oil on panel,18 x 18 cm,NGI.104.4,"Purchased, 1865"
Saint Jerome in the Wilderness,http://onlinecollection.nationalgallery.ie/objects/21/saint-jerome-in-the-wilderness?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=74,1570s,Oil on canvas,62 x 46.5 cm,NGI.1,"Purchased, 1872"
"An Interior of a Church, with Figures",http://onlinecollection.nationalgallery.ie/objects/22/an-interior-of-a-church-with-figures?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=75,N/A,Oil on metal,17 cm,NGI.10,"Purchased, 1888"
Giorgio Cornaro (1452-1527) and his Son Francesco Cornaro (1478-1543),http://onlinecollection.nationalgallery.ie/objects/23/giorgio-cornaro-14521527-and-his-son-francesco-cornaro-1?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=76,c.1520-1530 and c.1510-1520,Oil on wood panel,63 x 98 cm,NGI.100,"Purchased, 1867"
The Artist's Wife,http://onlinecollection.nationalgallery.ie/objects/24/the-artists-wife?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=77,c.1800,Oil on canvas,74 x 59 cm,NGI.1000,"Purchased, 1938"
The Flight into Egypt,http://onlinecollection.nationalgallery.ie/objects/35/the-flight-into-egypt?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=78,1519-1527,Oil on oak panel,33.5 x 23.7 cm,NGI.1001,"Purchased, 1938"
"Portrait of Simon, 1st Earl Harcourt (1714-1777)",http://onlinecollection.nationalgallery.ie/objects/66/portrait-of-simon-1st-earl-harcourt-17141777?ctx=e23ee2a8-413f-4fad-b7ca-fa6389b773d7&idx=79,N/A,Oil on canvas,76 x 63 cm,NGI.1002,"Purchased, 1938"
Self-Portrait with an Easel,http://onlinecollection.nationalgallery.ie/objects/77/selfportrait-with-an-easel?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=80,c.1747,Oil on canvas,76 x 63 cm,NGI.1003,"Presented, Sir Alec Martin, through the Friends of the National Collections of Ireland, 1938"
Portrait of Miss K. Leney,http://onlinecollection.nationalgallery.ie/objects/109/portrait-of-miss-k-leney?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=81,1902,Oil on canvas,66 x 51 cm,NGI.1004,"Bequeathed, Miss K. Leney, 1938"
A Man Singing by Candlelight,http://onlinecollection.nationalgallery.ie/objects/150/a-man-singing-by-candlelight?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=82,1625-1635,Oil on canvas,123.6 x 90.7 cm,NGI.1005,"Purchased, 1938"
"Chinese Scene, Fishermen",http://onlinecollection.nationalgallery.ie/objects/161/chinese-scene-fishermen?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=83,N/A,Oil on canvas,19 x 26 cm,NGI.1006,"Purchased, 1938"
"Chinese Scene, Women Making Tea",http://onlinecollection.nationalgallery.ie/objects/172/chinese-scene-women-making-tea?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=84,N/A,Oil on canvas,20 x 26 cm,NGI.1007,"Purchased, 1938"
"Chinese Scene, Boats by Lake",http://onlinecollection.nationalgallery.ie/objects/182/chinese-scene-boats-by-lake?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=85,N/A,Oil on canvas,20 x 26 cm,NGI.1008,"Purchased, 1938"
A Landscape,http://onlinecollection.nationalgallery.ie/objects/193/a-landscape?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=86,c.1870-c.1916,Oil on panel,55 x 65 cm,NGI.1009,"Purchased, 1938"
Moses Strikes Water from the Rock,http://onlinecollection.nationalgallery.ie/objects/204/moses-strikes-water-from-the-rock?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=87,c.1700-1730,Oil on canvas,127.9 x 185.9 cm,NGI.1010,"Presented, Miss E. Gorst, 1939"
"Portrait of Douglas Hyde, President of Ireland (1860-1949), Poet and Scholar",http://onlinecollection.nationalgallery.ie/objects/215/portrait-of-douglas-hyde-president-of-ireland-18601949?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=88,c.1930,Oil on canvas,128 x 102 cm,NGI.1011,"Purchased, 1939"
Portrait of Mrs G.W. Yeates,http://onlinecollection.nationalgallery.ie/objects/225/portrait-of-mrs-gw-yeates?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=89,1891,Oil on canvas,46 x 36 cm,NGI.1012,"Purchased, 1939"
Saint Jerome Translating the Gospels,http://onlinecollection.nationalgallery.ie/objects/236/saint-jerome-translating-the-gospels?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=90,c.1450,Tempera on panel,98 x 59 cm,NGI.1013,"Purchased, 1939"
Still Life with Musical Instruments,http://onlinecollection.nationalgallery.ie/objects/247/still-life-with-musical-instruments?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=91,c.1650,Oil on canvas,94 x 117 cm,NGI.1014,"Bequeathed, Miss H.M. Reid, 1939"
A Fruit-piece,http://onlinecollection.nationalgallery.ie/objects/258/a-fruitpiece?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=92,c.1661,Oil on canvas,71.5 x 55.3 cm,NGI.1015,"Bequeathed, 1939"
A Landscape with Figures and Horses,http://onlinecollection.nationalgallery.ie/objects/269/a-landscape-with-figures-and-horses?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=93,N/A,Oil on canvas,30 x 35.3 cm,NGI.1016,"Bequeathed, 1939"
A Landscape,http://onlinecollection.nationalgallery.ie/objects/280/a-landscape?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=94,N/A,Oil on panel,27 x 38 cm,NGI.1017,"Bequeathed, Miss H.M. Reid, 1939"
Portrait of a Young Man,http://onlinecollection.nationalgallery.ie/objects/291/portrait-of-a-young-man?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=95,c.1525,Oil on wood panel,52 x 41 cm,NGI.1018,"Purchased, 1939"
"Portrait of Edmund Kean (1787-1833), Actor, as Hamlet",http://onlinecollection.nationalgallery.ie/objects/302/portrait-of-edmund-kean-17871833-actor-as-hamlet?ctx=6a8d6025-0bed-4201-b56f-1e582fd198f5&idx=96,N/A,Oil on canvas,61 x 51 cm,NGI.1019,"Purchased, 1939"
