Title,Link,Date,Medium,Dimensions,Object Number,Credit Line
Trees and a Stream,http://onlinecollection.nationalgallery.ie/objects/2921/trees-and-a-stream?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=591,N/A,Oil on board,46 x 38 cm,NGI.1481,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Sandhills and Boats,http://onlinecollection.nationalgallery.ie/objects/2922/sandhills-and-boats?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=592,N/A,Oil on canvas,23 x 39 cm,NGI.1482,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Heavy Cloud over the Sea,http://onlinecollection.nationalgallery.ie/objects/2923/heavy-cloud-over-the-sea?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=593,N/A,Oil on board,32 x 45 cm,NGI.1483,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Stream below Trees,http://onlinecollection.nationalgallery.ie/objects/2924/a-stream-below-trees?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=594,N/A,Oil on canvas laid on board,34.2 x 45.3 cm,NGI.1484,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Landscape with Water and Trees,http://onlinecollection.nationalgallery.ie/objects/2925/a-landscape-with-water-and-trees?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=595,N/A,Oil on board,30 x 45 cm,NGI.1485,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"A View of Saint Doulough's, Raheny",http://onlinecollection.nationalgallery.ie/objects/2926/a-view-of-saint-douloughs-raheny?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=596,N/A,Oil on canvas laid on board,29 x 34 cm,NGI.1486,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
An Italian Village by the Sea,http://onlinecollection.nationalgallery.ie/objects/2927/an-italian-village-by-the-sea?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=597,N/A,Oil on canvas,51 x 43 cm,NGI.1487,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
A Horse and Cart in a Field,http://onlinecollection.nationalgallery.ie/objects/2928/a-horse-and-cart-in-a-field?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=598,N/A,Oil on canvas,23 x 32 cm,NGI.1488,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
"Landscape, Trees on the Left",http://onlinecollection.nationalgallery.ie/objects/2929/landscape-trees-on-the-left?ctx=66f56cf3-70e0-4633-9da2-e8ab6b6f28f3&idx=599,N/A,Oil on canvas laid on board,24 x 30.4 cm,NGI.1489,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
The Repast,http://onlinecollection.nationalgallery.ie/objects/2930/the-repast?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=600,c.1658,Oil on wood panel,49.2 x 40.2 cm,NGI.149,"Purchased, 1889"
A Grove of Trees,http://onlinecollection.nationalgallery.ie/objects/2931/a-grove-of-trees?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=601,N/A,Oil on board,27.5 x 35 cm,NGI.1490,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
Feeding Pigeons,http://onlinecollection.nationalgallery.ie/objects/2932/feeding-pigeons?ctx=c1d7bb3c-01e8-44d4-8f6d-be05b818fde2&idx=602,N/A,Oil on canvas,46 x 37 cm,NGI.1491,"Bequeathed, Mrs Hone, The Artist's Widow, 1919 (Accessioned 1951)"
